sBT,sNT,sRT,s,sPrefLabel,sAltLabels
thallophytes| microfossils| Plantae,Receptaculitaceae| nannofossils| Cyanophyta| calcareous algae| Halimeda| Lithothamnium| Coccolithus| Rhodophyta| Nitzschia| Discoasteridae| Epiphyton| Characeae| Helicopontosphaera| Diatomeae| Chrysophyta| Collenia| Pyrrhophyta| Chlorophyta| Emiliania huxleyi| Tasmanites| Tasmanitaceae| Nannoconus| Sphenolithus| Ethmodiscus| Chlorophyceae| Archaeolithothamnium| Coccolithophoraceae| Braarudosphaeridae| Botryococcus| Gymnocodiaceae| Bacillariophyta| Charophyta| Phaeophyta| Ceratolithus| Melosira| Dasycladaceae| Microcodium| Navicula| Corallinaceae| Lithophyllum| Codiaceae| Desmidiales,zooxanthellae| plankton| fungi| microorganisms| lichens| algal biscuits| stromatolites| algal mounds| reef builders| Protista| phytoplankton| algal mats| endolithic taxa| algal structures| bioherms,http://linkeddata.ge.imati.cnr.it/resource/ThIST/algae,algae,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/algarve,,
,,block diagrams| data processing| mathematical geology| Kalman filters| equations| computer programs| mathematical methods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/algoritmo,algorithms,
Middle East| Arabian Peninsula| Near East| Asia,Abu Dhabi United Arab Emirates,Persian Gulf,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alimaratalarabiyahalmuttahidah,United Arab Emirates,
,,injection| natural recharge| reinjection wells| fluid injection| recharge| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alimentazioneartificiale,artificial recharge,
Middle East| Near East| Asia,Baghdad Iraq,Arabian Peninsula| Mesopotamia| Eufrate River| Tigris River| Persian Gulf,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aliraq,Iraq,
Algeria| Algeri Algeria| North Africa,Algeria| Algeri Algeria| Tassili n'Ajjer,Mediterranean region| Maghreb| Atlas Mountains| Sahara,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair,Algeri Algeria,
Algeria| Algeri Algeria| North Africa,Algeria| Algeri Algeria| Tassili n'Ajjer,Mediterranean region| Maghreb| Atlas Mountains| Sahara,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair,Algeria,
Middle East| Near East| Asia,Kuwait City Kuwait,Persian Gulf,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alkuwayt,Kuwait,
glacial features,,moraines| erratics| boulders| glacial extent| geomorphology| till| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/allineamentodierratici,boulder trains,
clay minerals| silicates| sheet silicates,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/allofane,allophane,
,,fossils,http://linkeddata.ge.imati.cnr.it/resource/ThIST/allometria,allometry,
,,oxides| geochemistry| aluminum| corundum,http://linkeddata.ge.imati.cnr.it/resource/ThIST/allumina,alumina,
metals,Al-26| Al-27/Al-26,aluminum ores| lithophile elements| bauxite| alumina,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alluminio,aluminum,
silicates,bicchulite,petalite| adularia| euclase| chloritoid| bavenite| epidote| cordierite| carpholite| mordenite| glaucophane| kaliophilite| sapphirine| pumpellyite| amazonite| lawsonite| spodumene| stilpnomelane| bytownite| hydrobiotite| clinozoisite| kalsilite| prehnite,http://linkeddata.ge.imati.cnr.it/resource/ThIST/allumosilicati,aluminosilicates,
clastic sediments| sediments,,fans| soils| gravel| sand| clay| alluvium aquifers| fluvial fill| floodplains| colluvium| Alluvial soils| terraces| glaciofluvial features| alluvial exploration| soil mechanics| torrents| alluvial fans| silt| eluvium,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alluvium,alluvium,
Africa| North Africa,Rabat Morocco| Casablanca Morocco,Mediterranean region| Maghreb| Atlas Mountains| Sahara| Western Sahara,http://linkeddata.ge.imati.cnr.it/resource/ThIST/almaghrib,Morocco,
angiosperms| Spermatophyta| Plantae| Dicotyledoneae,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alnus,Alnus,
,I-131| astatine| Cl-36| chlorine| Cl-37/Cl-35| bromine| iodine| fluorine| I-129,chemical elements,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alogeno,halogens,
minerals,weberite| iodides| lepidolite| fluorite| fluoborates| carnallite| cryolite| topaz| fluocerite| pyromorphite| kainite| fluosilicates| bromides| paratacamite| connellite| bischofite| clinohumite| mendipite| mimetite| fluorides| atacamite| pyrochlore| phosgenite| boracite| halite| chlorides| sylvite| chlorargyrite,sodium chloride| calcium chloride,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alogenuri,halides,
Southern Europe| Western Europe,Sau Alps| Atesine Alps| Pelvoux Massif| Central Austrian Alps| Western Alps| Otztal Alps| Swiss Alps| North Austrian Alps| Prealps| Cima d'Asta| Limestone Alps| South Austrian Alps| Karawanken| Vanoise| Bernese Alps| Gailtal Alps| Monte Rosa| Lessini Mountains| Piedmont Alps| Dinaridi Alps| Hohe Tauern| Lechtal Alps| French Alps| Rhaetian Alps| Pusteria Valley| Central Alps| Dolomites| Carnic Alps| Northern Limestone Alps| Julian Alps| Marmolada| Gotthard Massif| Pennine Alps| Eastern Alps| Stubai Alps| Latemar Massif| Orobic Alps,Switzerland| Helvetic Nappes| Alpine Orogeny| Brianconnais Zone| Alpenvorland| Ossola| Insubric Line| Calcari di Gallaneto| alpine-type| Italy| Valtournenche| Slovenia| Penninic Zone| Cevedale Mountain| Austridic nappes| Dauphine| Zona Sesia-Lanzo| Mount Blanc Tunnel| Mindel| Valsugana| Austria| alpine environment| Antigorio Nappe| Cantabrian| Mount Leone| Swiss Molasse Basin| Yugoslavia| Hellenides| France| Sesia Valley| Valtellina| Germany| Pusteria Line| Tavetsch| Liechtenstein| Tonale Line| Savoy| Ortles Massif,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alpi,Alps,
Europe| Europa Island| France| Western Europe,,Bas-Rhin France,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alsazia,Alsace,
metasomatism,,hydrothermal processes| alunitization| pyrometasomatism| autometamorphism| hydrothermal conditions| hydrothermal waters| epidotization| propylitization| greisenization| thermal waters| steatitization| serpentinization| sericitization| tourmalinization| alteration| zeolitization| uralitization| hydrothermal fluids| mineral deposits genesis| ore-forming fluids| wall-rock alteration| pyritization| leakage anomalies| ground water| thermal alteration,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alterazioneidrotermale,hydrothermal alteration,
,physical weathering| chemical weathering| differential weathering| mechanical weathering,soil erosion| bauxitization| degradation| enrichment| soils| gossan| mechanical properties| mineral deposits| weathering rinds| erosion| applied geology| residuum| sediments| geochemistry| anchimetamorphism| detrital minerals| migration of elements| alteration| insolation| grus| geomorphology| exfoliation| denudation| mineral deposits genesis| exogenous agent| diagenesis| biodegradation| weathering crust| regolith| caliche| detritus| kaolinization| frost action| duricrust| leaching| water erosion| karstification| parent materials| hydrolysis| biorhexistasy| gelivity| ecology| weathered materials| etching| lithogeochemistry| clay mineralogy| placers,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alterazionemeteorica,weathering,
,,altitude| geodesy| Geosat| cartography| topography| atmospheric pressure,http://linkeddata.ge.imati.cnr.it/resource/ThIST/altimetria,altimetry,
,,isohypse| altimetry| topography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/altitudine,altitude,
,,enrichment| mineral deposits| ore minerals,http://linkeddata.ge.imati.cnr.it/resource/ThIST/altotenore,high-grade,
Middle East| Asia,Palestine| Amman,Dead Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alurdun,Jordan,
Europe| Europa Island| France| Western Europe,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alvernia,Auvergne,
Middle East| Arabian Peninsula| Arabian Shield| Asia,San'a Yemen| Gulf of Adenl,Red Sea| Red Sea Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman,Yemen,
native elements,,gold| mercury,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amalgama,amalgam,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amaranthaceae,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amaryllidaceae,,
Brazil,Manaus Brazil,South America| Amazonas River| Amazon River Basin| Guayanas Massif,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amazonas,Amazonas Brazil,
