;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoinorganico;http://eurovoc.europa.eu/5045;E;acids;sulfuric acid| hydrocloric acid| hydrofluoric acid;organic acids;inorganic acids;;inorganic acid;nitric acid| phosphoric acid| sulphuric acid| hydrochloric acid;inorganic chemical product;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoorganico;http://eurovoc.europa.eu/5055;E;acids;isoleucine| humic acids| aspartic acid| fulvic acids| alanine| carboxylic acids;inorganic acids| ketones| glycine| amino acids;organic acids;;organic acid;acetic acid| oxalic acid| fatty acid| acrylic acid| acetate| citric acid| phthalic acid| alcohol acid| aromatic acid| formic acid| ester| salicylic acid;organic chemical;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2690584770425146;1.7023075207256149;1.7888978879888553;1.7888978879888553;0.0;0.0;0.0;1.7698675165627051;0.2826178143851996;1.849279550298128;3.638177438286983;0.9230769230769232;1.0;1.8
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://eurovoc.europa.eu/415;C;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;desert;Sahara| desert area;geophysical environment;;desertification;0.7034522727588058;1.3018441225695714;2.4884887039245096;34.34489670584255;0.013513513513513488;0.4;1.2;-0.9028396610024152;2.3432257734050395;2.425476362314124;2.425476362314124;0.0;0.09090909090909094;0.09090909090909094;-0.6822446474159354;2.5059809220033458;1.9637017397566536;1.9637017397566536;0.16666666666666666;0.16666666666666666;0.16666666666666666
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/deserto;http://eurovoc.europa.eu/415;E;eolian features;continental dunes;wadis| Yermosols| sand seas| arid environment| deflation| playas| sand sheets| barchans| geomorphology| hammadas| oasis| ergs| desertification| pediments| dust storms| eolian deposit| yardangs| dunes| desert varnish| ecology;deserts;;desert;Sahara| desert area;geophysical environment;;desertification;5.150535399767149;0.9985531507178044;2.616015265411032;44.944490504112984;0.0044642857142856976;1.0;2.5333333333333328;0.12491546920824732;1.2493519332554726;2.222107905047587;3.9063534742656985;0.04347826086956519;0.18181818181818174;0.2727272727272727;-0.2669915414733736;0.3562835823243314;0.3562835823243314;0.3562835823243314;0.8571428571428572;0.8571428571428572;0.8571428571428572
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://eurovoc.europa.eu/302;E;Africa;Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea;West Africa| East Africa| Southern Africa| North Africa;Central Africa;;Central Africa;Equatorial Africa;sub-Saharan Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.24395636594528;2.0478017195125533;2.0478017195125533;0.05555555555555558;1.0;1.0;2.0477192457642754;0.0;1.83810687299662;3.67621374599324;1.0;1.0;2.0
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://eurovoc.europa.eu/342;E;Africa;Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho;Damara Orogeny| West Africa| Central Africa| East Africa| North Africa;Southern Africa;;Southern Africa;;sub-Saharan Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.24395636594528;2.0478017195125533;2.0478017195125533;0.05555555555555558;1.0;1.0;2.0890157234176403;0.0;2.3299654956410825;4.659930991282165;1.0;1.0;2.0
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://eurovoc.europa.eu/351;E;Africa;Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal;Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa;West Africa;;West Africa;;sub-Saharan Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.24395636594528;2.0478017195125533;2.0478017195125533;0.05555555555555558;1.0;1.0;2.1234647454464683;0.0;2.8939633107571603;5.787926621514321;1.0;1.0;2.0
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://eurovoc.europa.eu/357;E;Africa;Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia;Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel;East Africa;;East Africa;;sub-Saharan Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.24395636594528;2.0478017195125533;2.0478017195125533;0.05555555555555558;1.0;1.0;2.130654039013876;0.0;2.9824306566989685;5.964861313397937;1.0;1.0;2.0
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://eurovoc.europa.eu/1729;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;Republic of Madagascar| Malagasy Republic;ACP countries| East Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8176844484945651;1.5395835465637209;2.9824306566989685;2.9824306566989685;0.07692307692307687;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://eurovoc.europa.eu/2057;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;Republic of Niger;West Africa| ACP countries| Ecowas countries| WAEMU countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.123464745446468;1.8331860804086;2.8939633107571603;2.8939633107571603;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
