;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico;http://aims.fao.org/aos/agrovoc/c_1016;E;acids;;borates| sassolite;boric acid;;Boric acid;;Inorganic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico;http://aims.fao.org/aos/agrovoc/c_1631;E;chemical analysis| acids;;;citric acid;;Citric acid;;Organic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2013094209025008;1.1825504803382212;1.8042562327792404;5.348035385405919;0.0;1.0;1.125;2.357853806604425;0.34781355897897226;0.9816404281461526;1.9632808562923048;0.9090909090909092;1.0;2.0
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://aims.fao.org/aos/agrovoc/c_3720;E;inorganic acids| acids;;chlorides;hydrocloric acid;;Hydrochloric acid;;Inorganic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.736605200139752;0.4898678392904216;1.6998426663271786;5.099527998981536;0.6363636363636364;1.0;3.0;0.5220393512507272;0.22776650697982914;1.7676036791064822;3.4693644214464987;0.2941176470588235;1.0;1.5
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://aims.fao.org/aos/agrovoc/c_7517;E;inorganic acids| acids;;marcasite| acid mine drainage| pollution;sulfuric acid;;Sulphuric acid;Sulfuric acid;Inorganic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.736605200139752;0.4898678392904216;1.6998426663271786;5.099527998981536;0.6363636363636364;1.0;3.0;0.4423763594179103;0.7237038534245868;2.080803219479641;4.094567965295562;0.1428571428571429;1.0;1.3333333333333337
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico;http://aims.fao.org/aos/agrovoc/c_671;E;organic materials| organic acids| amino acids| acids;;;aspartic acid;;Aspartic acid;Asparaginic acid;Amino acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.222475504019908;0.7820163075843846;2.1848454459565883;14.459381471399656;0.0;1.0;4.0;2.220446049250313e-16;0.3493553715666759;1.9235299716991527;3.8470599433983055;0.9230769230769232;1.0;2.0
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina;http://aims.fao.org/aos/agrovoc/c_239;E;organic materials| organic acids| amino acids| acids;;geochemistry;alanine;;Alanine;;Amino acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.222475504019908;0.7820163075843846;2.1848454459565883;14.459381471399656;0.0;1.0;4.0;0.0;0.5346257753849972;0.0;0.0;0.8571428571428572;1.0;1.0
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://aims.fao.org/aos/agrovoc/c_1432;E;Africa;Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea;West Africa| East Africa| Southern Africa| North Africa;Central Africa;;Central Africa;;Africa South of Sahara;Sao Tome and Principe| Cameroon| Rwanda| Democratic Republic of the Congo| Chad| Burundi| Equatorial Guinea| Congo| Gabon| Central African Republic;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.4314259652429862;2.5131573557600144;2.5131573557600144;0.2727272727272727;1.0;1.0;2.0477192457642754;0.0;1.83810687299662;3.67621374599324;1.0;1.0;2.0
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://aims.fao.org/aos/agrovoc/c_7265;E;Africa;Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho;Damara Orogeny| West Africa| Central Africa| East Africa| North Africa;Southern Africa;;Southern Africa;;Africa South of Sahara;Zambia| Malawi| Zimbabwe| Swaziland| Angola| South Africa| Mozambique| Botswana| Saint Helena, Ascension and Tristan da Cunha| Lesotho| Namibia;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.4314259652429862;2.5131573557600144;2.5131573557600144;0.2727272727272727;1.0;1.0;2.0890157234176403;0.0;2.3299654956410825;4.659930991282165;1.0;1.0;2.0
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://aims.fao.org/aos/agrovoc/c_8355;E;Africa;Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal;Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa;West Africa;;West Africa;;Africa South of Sahara;Sierra Leone| Ghana| Benin| Western Sahara| Mali| Cote d'Ivoire| Cabo Verde| Niger| Gambia| Mauritania| Liberia| Nigeria| Burkina Faso| Guinea| Togo| Guinea-Bissau| Senegal;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.4314259652429862;2.5131573557600144;2.5131573557600144;0.2727272727272727;1.0;1.0;2.1234647454464683;0.0;2.8939633107571603;5.787926621514321;1.0;1.0;2.0
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://aims.fao.org/aos/agrovoc/c_2442;E;Africa;Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia;Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel;East Africa;;East Africa;;Africa South of Sahara;Mauritius| South Sudan| Sudan| Seychelles| Ethiopia| Eritrea| Comoros| Djibouti| Kenya| Mayotte| Somalia| Madagascar| United Republic of Tanzania| Uganda| Réunion;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.4314259652429862;2.5131573557600144;2.5131573557600144;0.2727272727272727;1.0;1.0;2.130654039013876;0.0;2.9824306566989685;5.964861313397937;1.0;1.0;2.0
10;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;E;Africa;;Burundi| Ethiopia| Lake Victoria| Blue Nile| Egypt| Sudan| Uganda| Nilo River Basin;Nile River;;Nile River;;Rivers| African inland waters;Blue Nile River;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1032507565713947;1.7469641248010797;2.383022633055246;2.383022633055246;0.0;0.8571428571428572;0.8571428571428572;2.3248703432021736;0.0;1.7279246592006683;3.4558493184013366;1.0;1.0;2.0
11;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://aims.fao.org/aos/agrovoc/c_4510;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;Democratic Republic of Madagascar| Malagasy Republic;East Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1306540390138755;1.0901501854458453;2.9824306566989685;2.9824306566989685;0.0;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
12;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://aims.fao.org/aos/agrovoc/c_5181;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;Republic of the Niger;West Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12346474544646854;1.3418372878197316;2.8939633107571603;2.8939633107571603;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
13;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://aims.fao.org/aos/agrovoc/c_29755;E;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;Sahara Desert;Libyan Desert;Deserts;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.8072485118126951;2.6850153428715218;2.5635522845687726;2.5635522845687726;0.0;0.0;0.0;1.0000000000000009;1.6705911414287615;1.9637017397566536;1.9637017397566536;0.4615384615384616;1.0;1.0
14;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://aims.fao.org/aos/agrovoc/c_6734;E;Africa;;Niger| Chad| Mauritania| Mali| Sahara| Senegal;Sahel;;Sahel;;Africa South of Sahara;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.4314259652429862;2.5131573557600144;2.5131573557600144;0.2727272727272727;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
15;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://aims.fao.org/aos/agrovoc/c_1159;E;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;Burundi;Republic of Burundi;Central Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.09543849152855;0.4086586314129019;1.83810687299662;5.514320618989859;0.13636363636363635;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
16;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://aims.fao.org/aos/agrovoc/c_3161;E;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;Gabon;Gabonese Republic;Central Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.09543849152855;0.4086586314129019;1.83810687299662;5.514320618989859;0.13636363636363635;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
17;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://aims.fao.org/aos/agrovoc/c_2627;E;Africa| Central Africa;Bioko Island| Malabo Equatorial Guinea;Gulf of Guinea;Equatorial Guinea;;Equatorial Guinea;Fernando Po| Rio Muni| Republic of Equatorial Guinea| Spanish Guinea;Central Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.09543849152855;0.4086586314129019;1.83810687299662;5.514320618989859;0.13636363636363635;1.0;3.0;2.177406804442965;0.0;1.6276175713005785;3.2552351426011565;1.0;1.0;2.0
18;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;E;Africa| Central Africa;;Democratic Republic of Congo| Rwanda;Lake Kivu;;Lake Kivu;;Lakes| African inland waters;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9376067073554513;1.2007208098044038;3.121160160290122;8.389908530791951;0.0;0.8571428571428572;1.8571428571428568;2.220446049250313e-16;0.0;2.6369586290266733;5.273917258053347;1.0;1.0;2.0
19;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://aims.fao.org/aos/agrovoc/c_6717;E;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;Rwanda;Republic of Rwanda| Rwandese Republic;Central Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.09543849152855;0.4086586314129019;1.83810687299662;5.514320618989859;0.13636363636363635;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
20;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://aims.fao.org/aos/agrovoc/c_7497;E;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;Sudan;Democratic Republic of the Sudan| Republic of the Sudan;East Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2613080780277515;0.4192860620694351;2.9824306566989685;8.947291970096904;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
21;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://aims.fao.org/aos/agrovoc/c_1790;E;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;Comoros;Etat Comorien| Moheli| Anjouan| Comoro Islands| Grande Comore;East Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2613080780277515;0.4192860620694351;2.9824306566989685;8.947291970096904;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
22;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://aims.fao.org/aos/agrovoc/c_2676;E;Africa| East Africa;Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia;Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River;Ethiopia;;Ethiopia;Abyssinia;East Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2613080780277515;0.4192860620694351;2.9824306566989685;8.947291970096904;0.0;1.0;3.0;-1.1102230246251563e-16;0.0;0.0;0.0;1.0;1.0;1.0
23;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://aims.fao.org/aos/agrovoc/c_4086;E;Africa| East Africa;Nairobi Kenya;Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya;Kenya;;Kenya;Republic of Kenya;East Africa;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2613080780277515;0.4192860620694351;2.9824306566989685;8.947291970096904;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
24;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://aims.fao.org/aos/agrovoc/c_4532;E;Africa| East Africa;Lilongwe;East African Rift| Nyasa Lake;Malawi;;Malawi;Republic of Malawi;Southern Africa;;COMPACI;-1.0;2.8631122461214518;3.4668705645306437;13.552785109792032;0.0;0.1428571428571429;0.1428571428571429;2.353925938669112;1.2296864920623918;2.9824306566989685;7.642361647981132;0.0;1.0;2.125;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
