;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
0;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://dbpedia.org/resource/Category:Madagascar;E;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;Madagascar;;Island countries| Islands of Africa| Physiographic provinces| Member states of the Organisation internationale de la Francophonie| Southeast African countries| East African countries| Wikipedia categories named after islands| Countries in Africa| Southern African countries| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://dbpedia.org/resource/Category:Niger;E;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;Niger;;Countries in Africa| Landlocked countries| West African countries| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.280418017251971;1.990250018568429;3.2067760779910683;3.2067760779910683;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
2;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nubia;http://dbpedia.org/resource/Category:Nubia;E;Africa;;Egypt| Sudan| Nile Valley;Nubia;;Nubia;;Regions of Africa| Foreign contacts of ancient Egypt| Geography of ancient Egypt| History of Sudan;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.188191462433311;2.0246923118918194;2.9244139537391662;2.9244139537391662;0.010204081632653073;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
3;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://dbpedia.org/resource/Category:Sahara;E;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;Sahara;;Deserts of Africa| Geography of North Africa| Wikipedia categories named after deserts;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.192751488187305;1.9094016096975428;2.8412517468274237;2.8412517468274237;0.0;1.0;1.0;4.440892098500626e-16;0.0;0.0;0.0;1.0;1.0;1.0
4;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://dbpedia.org/resource/Category:Burundi;E;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;Burundi;;Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| States and territories established in 1962| French-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.17218609678288;1.3189187993187044;3.1224333273129465;9.301291844541431;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
5;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;E;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;Gabon;;Member states of the African Union| Central African countries| Former French colonies| Member states of the Organisation internationale de la Francophonie| Countries in Africa| Bantu countries and territories| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.36938190835369;1.3351970709649503;3.2067760779910683;9.582058145204797;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
6;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;E;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;Rwanda;;Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Commonwealth republics| Bantu countries and territories| Member states of the Commonwealth of Nations| States and territories established in 1962| French-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.17218609678291;1.3596135098085511;3.1224333273129465;9.301291844541431;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
7;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;E;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;Sudan;;Member states of the Arab League| North African countries| Countries in Africa| Arabic-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.574401908781866;1.4497510989746645;2.9824306566989685;8.784263602472807;0.004784688995215336;1.0;2.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0
8;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;E;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;Comoros;;Island countries| Member states of the Arab League| East African countries| Wikipedia categories named after islands| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.184471675639756;1.490164042566094;2.9824306566989685;8.947291970096904;0.004115226337448541;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
9;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;E;Africa| East Africa;Asmara Etiopia| Dahlak Islands| Mitsiwa Eritrea;Red Sea| East African Rift| Afar| Red Sea Basin| Afar Depression;Eritrea;;Eritrea;;East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.342990591085346;1.3065438166940522;2.9824306566989685;8.947291970096904;0.005263157894736858;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
10;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://dbpedia.org/resource/Category:Ethiopia;E;Africa| East Africa;Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia;Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River;Ethiopia;;Ethiopia;;East African countries| Countries in Africa| Landlocked countries| Federal republics| Horn of Africa| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.342990591085346;1.3977623213901091;2.9824306566989685;8.947291970096904;0.006944444444444421;1.0;3.0;-1.1102230246251563e-16;0.0;0.0;0.0;1.0;1.0;1.0
11;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;E;Africa| East Africa;Nairobi Kenya;Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya;Kenya;;Kenya;;Southeast African countries| East African countries| Countries in Africa| Bantu countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| Republics| States and territories established in 1963;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.76588027314957;1.4720795237602768;3.297682408074221;9.554657618600212;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
12;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;E;Africa| East Africa;Lilongwe;East African Rift| Nyasa Lake;Malawi;;Malawi;;States and territories established in 1964| Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.25140329378854;1.467518149486411;3.2858870400079523;9.543254472639925;0.0033557046979866283;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
13;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;E;Africa| East Africa;Maputo Mozambique;Nyasa Lake| Zambezi river;Mozambique;;Mozambique;;Southeast African countries| East African countries| Member states of the Community of Portuguese Language Countries| Countries in Africa| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.92924529926476;1.5822420449009325;2.9824306566989685;8.947291970096904;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
14;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;E;Africa| East Africa;Victoria Seychelles;Indian Ocean| islands;Seychelles;;Seychelles;;Island countries| Islands of Africa| East African countries| Wikipedia categories named after islands| Countries in Africa| Islands of the Indian Ocean| Member states of the Commonwealth of Nations| English-speaking countries and territories| Wikipedia categories named after countries| Archipelagoes of the Indian Ocean| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.44979159096903;1.5570101178637157;2.9824306566989685;8.947291970096904;0.0030211480362537517;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
15;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;E;Africa| East Africa;Muqdisho Somalia| Afar Depression| Migiurtin;Gulf of Adenl;Somalia;;Somalia;;Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Horn of Africa| Wikipedia categories named after countries| States and territories established in 1960;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.366742759852116;1.4483441062826274;3.442492460837161;9.856044616819297;0.004115226337448541;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
16;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;E;Africa| East Africa;Lusaka Zambia;Zambezi River Basin| Congo River| Zambezi river| Congo River Basin;Zambia;;Zambia;;States and territories established in 1964| Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.25140329378854;1.5318740876774433;3.2858870400079523;9.543254472639925;0.0030030030030030463;1.0;3.0;-2.220446049250313e-16;0.0;0.0;0.0;1.0;1.0;1.0
17;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;E;Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti| Djibouti;Red Sea| Afar| Red Sea Basin;Djibouti;;Djibouti;;Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.366742759852116;1.3270127564148395;2.9824306566989685;16.888900370561828;0.020942408376963373;1.0;3.375;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
18;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;E;Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti| Djibouti;Red Sea| Afar| Red Sea Basin;Djibouti Djibouti;;Djibouti;;Member states of the Arab League| East African countries| Countries in Africa| Arabic-speaking countries and territories| Horn of Africa| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.366742759852116;1.3270127564148395;2.9824306566989685;16.888900370561828;0.020942408376963373;1.0;3.375;-1.0;0.0;0.0;0.0;0.4705882352941176;1.0;2.0
19;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mayotte;http://dbpedia.org/resource/Category:Mayotte;E;Africa| East Africa| France;Dzaoudzi Mayotte;Indian Ocean| Comoros| Mozambique Channel;Mayotte;;Mayotte;;Outermost regions of the European Union| Island countries| Regions of France| Islands of Africa| Comoros archipelago| Wikipedia categories named after islands| Territorial disputes of the Comoros| Islands of the Indian Ocean| Southern Africa| Southeast Africa| Disputed territories in Africa| East Africa| Territorial disputes of France| Overseas departments of France;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113.02730509216242;1.2794421313547282;2.9824306566989685;11.527788255786069;0.002717391304347782;1.0;4.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
20;http://linkeddata.ge.imati.cnr.it/resource/ThIST/almaghrib;http://dbpedia.org/resource/Category:Morocco;E;Africa| North Africa;Rabat Morocco| Casablanca Morocco;Mediterranean region| Maghreb| Atlas Mountains| Sahara| Western Sahara;Morocco;;Morocco;;Member states of the Arab League| Member states of the Organisation internationale de la Francophonie| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| Kingdoms| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.87504455258012;1.5224504291712595;3.0154313955999013;9.041409517808342;0.007575757575757569;1.0;3.0;-2.220446049250313e-16;0.0;0.0;0.0;1.0;1.0;1.0
21;http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://dbpedia.org/resource/Category:Libya;E;Africa| North Africa;Tripoli Libya| Fezzan| Kufra Basin| Cirenaica| Tripolitania| Sirte Basin| Tibesti Libya;Libyan Desert| Mediterranean region| Maghreb| Tibesti Massif| Sahara;Libya;;Libya;;1951 establishments in Africa| Member states of the Arab League| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.443551986328295;1.4476283917181452;3.1103013422162533;9.141460959557284;0.0;1.0;3.0;-2.220446049250313e-16;0.0;0.0;0.0;1.0;1.0;1.0
22;http://linkeddata.ge.imati.cnr.it/resource/ThIST/maghreb;http://dbpedia.org/resource/Category:Maghreb;E;Africa| North Africa;;Algeria| Algeri Algeria| Libya| Morocco| Egypt| Tunis Tunisia| Tunisia;Maghreb;;Maghreb;;Regions of Africa| Geography of North Africa| Mediterranean| Arab world;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.221033111202992;1.2528824951932669;2.4022919318339824;6.876185626444638;0.028169014084507005;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
23;http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://dbpedia.org/resource/Category:Egypt;E;Africa| North Africa;Gulf of Suez| Red Sea| Nile Delta| Suez Canal| Blue Nile| Nile Valley| Abu Durba Egypt| Middle Nile Valley;Libyan Desert| Middle East| Mediterranean region| Nubia| Maghreb| Nubian Sandstone| Near East| Red Sea Basin| Nile River| Sahara| Nile Valley| Sinai;Egypt;;Egypt;;Arab republics| Middle Eastern countries| Western Asian countries| Member states of the Arab League| North African countries| Countries in Africa| Arabic-speaking countries and territories| Countries in Asia| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.79678015877795;1.4791399594147316;2.9055398026171924;8.707372748391032;0.007968127490039834;1.0;3.0;4.440892098500626e-16;0.0;0.0;0.0;1.0;1.0;1.0
24;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tripolitania;http://dbpedia.org/resource/Category:Tripolitania;E;Africa| Libya| North Africa;;;Tripolitania;;Tripolitania;;Wikipedia categories named after colonies| Provinces of Libya| Regions of Libya;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.37600811930681;1.4917008238395568;2.9055398026171924;11.31815261106801;0.02531645569620256;1.0;1.8666666666666667;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
25;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://dbpedia.org/resource/Category:Tunisia;E;Africa| North Africa| Tunis Tunisia| Tunisia;Tunis Tunisia| Tunisia;Mediterranean region| Maghreb| Atlas Mountains| Sahara;Tunis Tunisia;;Tunisia;;Member states of the Arab League| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.73060627430839;1.2102907276837398;2.9055398026171924;17.281928611827592;0.010204081632653073;1.0;3.4523809523809517;-1.0;0.1657355305136655;0.3527811689120182;0.3527811689120182;0.3846153846153846;1.0;1.7142857142857144
26;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://dbpedia.org/resource/Category:Tunisia;E;Africa| North Africa| Tunis Tunisia| Tunisia;Tunis Tunisia| Tunisia;Mediterranean region| Maghreb| Atlas Mountains| Sahara;Tunisia;;Tunisia;;Member states of the Arab League| North African countries| Maghrebi countries| Countries in Africa| Arabic-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.73060627430839;1.2102907276837398;2.9055398026171924;17.281928611827592;0.010204081632653073;1.0;3.4523809523809517;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
27;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lesotho;http://dbpedia.org/resource/Category:Lesotho;E;Africa| Southern Africa;Maseru Lesotho;Orange River;Lesotho;;Lesotho;;Countries in Africa| Landlocked countries| Kingdoms| Bantu countries and territories| Enclaves and exclaves| Member states of the Commonwealth of Nations| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.89329770958396;1.2637793953408876;2.90091647288692;8.26899262619108;0.00371747211895912;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
28;http://linkeddata.ge.imati.cnr.it/resource/ThIST/namibia;http://dbpedia.org/resource/Category:Namibia;E;Africa| Southern Africa;Windhoek Namibia;Kalahari desert;Namibia;;Namibia;;Afrikaans-speaking countries and territories| Countries in Africa| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.16792024150981;1.1844351305672418;2.90091647288692;8.26899262619108;0.01845018450184499;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
29;http://linkeddata.ge.imati.cnr.it/resource/ThIST/swaziland;http://dbpedia.org/resource/Category:Swaziland;E;Africa| Southern Africa;Mbabane Swaziland;;Swaziland;;Swaziland;;Countries in Africa| Landlocked countries| Kingdoms| Enclaves and exclaves| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.27292790953477;1.2023202225980856;2.8412517468274237;8.149663174072089;0.005263157894736858;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0
30;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zimbabwe;http://dbpedia.org/resource/Category:Zimbabwe;E;Africa| Southern Africa;Harare Zimbabwe;Limpopo River Basin| Zambezi River Basin| Limpopo River;Zimbabwe;;Zimbabwe;;Southeast African countries| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries| Republics;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.45129888140235;1.0374156664868015;2.9824306566989685;8.432020993815176;0.0;1.0;3.0;2.220446049250313e-16;0.0;0.0;0.0;1.0;1.0;1.0
