;Unnamed: 0;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oDefinition;oAltLabels;oBT;oNT;oRT;similaritySInW;wmdistance;Mwmdistance;SMwmdistance;nhammingSim;MnhammingSim;SMnhammingSim
827;827;http://linkeddata.ge.imati.cnr.it/resource/ThIST/oceanografia;http://dbpedia.org/resource/Category:Oceanography;E;;;ocean circulation| carbonate compensation depth| reefs| wave motion| sediment traps| tidal currents| ocean basins| sedimentary petrology| bibliography| marine drilling| sea ice| Law of the Sea| research vessels| GEOSECS| upwelling| sedimentation| Deep Sea Drilling Project| scientific cruises| pelagic environment| shelf-slope break| convection| bottom water| education| continental slope| marine geology| nodules| bottom features| ocean waves| abyssal plains| estuaries| boundary layer| turbulence| diffusion| ocean floors| submersibles| continental shelf| expeditions| catalogs| air-sea interface| echo sounding| bathymetry| Ocean Drilling Program| shoals| paleo-oceanography| hemipelagic environment| sea water;oceanography;;Oceanography;;;Applied and interdisciplinary physics| Hydrography| Physical geography| Hydrology| Earth sciences| Oceans;;Meteorology;0.0;0.0;0.0;0.0;0.0;0.0;0.0
828;828;http://linkeddata.ge.imati.cnr.it/resource/ThIST/olografia;http://dbpedia.org/resource/Category:Holography;E;;;data processing| crystallography;holography;;Holography;;;3D imaging| Optics| Virtual reality;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
829;829;http://linkeddata.ge.imati.cnr.it/resource/ThIST/omonimia;http://dbpedia.org/resource/Category:Homonymy;E;;;nomenclature| taxonomy;homonymy;;Homonymy;;;Semantics| Ambiguity| Lexical semantics| Types of words;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
830;830;http://linkeddata.ge.imati.cnr.it/resource/ThIST/onda;http://dbpedia.org/resource/Category:Waves;E;;plane waves;wavelength| SKP-waves| wave amplification| tube waves| meteorology| wave motion| Lg-waves| P-waves| coda waves| ScS-waves| SKS-waves| interference| Hilbert transformations| PKiKP-waves| PKS-waves| electromagnetic waves| Pn-waves| Love waves| SH-waves| S-waves| surface waves| breaking waves| Rayleigh waves| seiches| short-period waves| scattering| elastic waves| PPS-waves| internal waves| ocean waves| PKP-waves| Sn-waves| ideal waves| propagation| PPP-waves| body waves| shoaling| Stoneley waves| PcP-waves| Doppler effect| catastrophic waves| PS-waves| acoustical waves| PP-waves| SV-waves| Airy waves| long-period waves| wave dispersion| wave absorption| surges| shock waves;waves;;Waves;;;Differential equations| Periodic phenomena| Dynamical systems| Physical phenomena| Oscillation;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
831;831;http://linkeddata.ge.imati.cnr.it/resource/ThIST/opera;http://dbpedia.org/resource/Category:Construction;E;;;railroads| reservoirs| dredging| applied geology| foundations| remediation| marine installations| environmental impact evaluation| underground installations| backfill| construction materials| shorelines| highways| tunnels| dams;construction;;Construction;;;Real estate;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
832;832;http://linkeddata.ge.imati.cnr.it/resource/ThIST/orientazione;http://dbpedia.org/resource/Category:Orientation;E;;;horizontal orientation| tilt| faults| preferred orientation| vertical orientation| schistosity| dip| nappes| lineation| discordant folds| plunging folds| recumbent folds| superposed folds| structural analysis| inclined folds| folds| petrofabrics| drag folds| oblique orientation| strike| overturned folds| linear orientation| fabric;orientation;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
833;833;http://linkeddata.ge.imati.cnr.it/resource/ThIST/orogenesi;http://dbpedia.org/resource/Category:Orogeny;E;;Damara Orogeny| Nevadan Orogeny| Himalayan Orogeny| Hercynian Orogeny| Wopmay Orogeny| Caledonian Orogeny| Pan-African Orogeny| Cimmerian Orogeny| Appennine Orogenesis| Cordilleran Orogeny| Algoman Orogeny| Ouachita Orogeny| Assyntic Orogeny| Pyrenean Orogeny| Cadomian Orogeny| Penokean Orogeny| Grenvillian Orogeny| Karelian Orogeny| Eburnean Orogeny| Precambrian Orogeny| Beltian Orogeny| Laramide Orogeny| Avalonian Orogeny| Kenoran Orogeny| Hudsonian Orogeny| Katangan Orogeny| Asturian Orogeny;epeirogeny| volcanology| Alpine Orogeny| overprinting| back-arc basins| faults| Acadian Phase| Taconic Orogeny| orogenic belts| arches| backthrusting| tectogenesis| intracontinental belts| structural geology| absolute age| plate tectonics| Saalian Phase| taphrogeny| Appalachian Phase| magmatism| compression tectonics| folds| tectonics| tectonic phase| geosynclines| transpression| deformation| crust| Alleghany Orogeny| Baikalian Phase| Antler Orogeny| periodicity| metamorphism| Andean Orogeny| fore-arc basins;orogeny;;Orogeny;;;Plate tectonics| Geological processes| Geological history of Earth;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
834;834;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ossalati;http://dbpedia.org/resource/Category:Oxalates;E;;oxalite| whewellite| weddellite;minerals;oxalates;;Oxalates;;;Salts and esters of carboxylic acids;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
835;835;http://linkeddata.ge.imati.cnr.it/resource/ThIST/osservatorio;http://dbpedia.org/resource/Category:Observatories;E;;;volcanology| meteorology| geophysics| Vesuvius Observatory Italy| seismology;observatories;;Observatories;;;Scientific observation| Scientific buildings| Facilities and organizations of science;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
836;836;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ossidi;http://dbpedia.org/resource/Category:Oxides;E;;chromite| rosenhahnite| cryptomelane| cuprite| cervantite| keatite| rutile| betafite| chrysoberyl| coronadite| ulvospinel| diaspore| hydroxides| bayerite| pseudobrookite| lepidocrocite| rancieite| iron oxides| minerals| pyrophanite| periclase| davidite| becquerelite| anatase| paratellurite| ferrihydrite| hausmannite| plattnerite| wustite| maghemite| delafossite| tellurites| brannerite| bindheimite| goethite| niobotantalates| manganite| euxenite| boehmite| valentinite| crichtonite| schreyerite| bixbyite| gahnite| thorianite| martite| spinel group| gibbsite| wolsendorfite| tenorite| niobates| birnessite| hematite| manganese oxides| hollandite| psilomelane| massicot| uraninite| mendipite| franklinite| priderite| ixiolite| tantalates| brookite| zincite| geikielite| todorokite| columbite| nigerite| bromellite| leucoxene| chrome spinel| baddeleyite| pyrochlore| magnesioferrite| sapphire| pyrolusite| nsutite| brucite| powellite| ilmenite| armalcolite| ramsdellite| germanates| jacobsite| perovskite| corundum| cassiterite| magnetite| hercynite| akaganeite| hibonite| spinel| cerianite| taaffeite| heterogenite;nitrous oxide| ocher| ice| alumina;oxides;;Oxides;;;Chalcogenides| Oxygen compounds| Salts;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
